image,detections,valid,invalid,flagged,distinct_classes,elapsed_sec,error
000000000194.jpg,1,1,0,1,1,3.72,
000000000315.jpg,25,25,0,0,4,48.98,
000000000384.jpg,7,7,0,0,3,14.01,
